,Age,Sex,Interest,Clicks,Purchased
1834,62.221277212789246,Unclassified,4.0,1,238.87874184982266
1835,54.80892665098975,F,7.0,0,0.0
1836,51.06459722227566,M,9.0,6,471.217473658652
1837,27.900858504058025,M,8.0,2,0.0
1838,65.62510847807152,F,3.0,2,0.0
1839,33.80159459458759,Unclassified,4.0,1,0.0
1840,29.887424960150696,Unclassified,2.0,0,0.0
1841,36.57575155741391,Unclassified,3.0,1,0.0
1842,49.2005583836409,F,5.0,3,0.0
1843,64.25909827344512,Unclassified,4.0,0,0.0
1844,17.448785974853397,M,7.0,1,60.67804657700188
1845,72.25592558787925,M,2.0,0,0.0
1846,63.90756793992561,M,2.0,1,47.74186798820058
1847,38.20505698294683,M,9.0,1,169.95752267986418
1848,43.94065980851589,M,10.0,7,484.115129790897
1849,14.939450754173494,M,9.0,1,13.73833812319318
1850,69.46355510422912,M,6.0,3,144.5351297619444
1851,29.387042379051117,M,9.0,1,55.60769626538635
1852,30.777867560413053,M,3.0,0,0.0
1853,51.19592550686428,F,7.0,0,0.0
1854,14.126638683205025,M,4.0,1,22.023386333530244
1855,58.4872376991035,M,7.0,4,339.1786213329391
1856,37.721651199377305,M,9.0,0,0.0
1857,66.53822119698928,F,1.0,1,324.1948021520431
1860,62.474884618705495,M,2.0,0,0.0
1861,31.976257191195124,M,6.0,2,0.0
1863,28.324802594098,M,9.0,2,0.0
1864,45.89855667560689,M,3.0,3,0.0
1866,12.570739671684859,Unclassified,4.0,1,0.0
1867,19.918385434291494,F,7.0,1,61.73322924548236
1868,64.98754631861435,Unclassified,7.0,0,0.0
1871,56.95819788932182,M,7.0,1,35.4734389789355
1872,43.632018652376956,F,9.0,3,0.0
1873,72.12739065301855,F,3.0,1,258.86875336786625
1874,48.546495437842374,M,5.0,2,0.0
1876,27.61175748861584,Unclassified,9.0,1,0.0
1877,39.85401498807301,Unclassified,7.0,1,0.0
1879,51.246978878503946,Unclassified,8.0,1,57.178833122301754
1881,39.980587953723116,M,7.0,4,0.0
1882,45.96373710334225,Unclassified,9.0,0,0.0
1883,58.751057703938635,Unclassified,8.0,1,86.34923507853414
1884,43.69662535037089,F,6.0,1,49.954617986494114
1888,45.624410036804576,F,2.0,0,0.0
1889,19.492244579199337,F,3.0,1,65.1375827535996
1891,32.73387689010801,Unclassified,3.0,2,314.6177864580755
1893,62.62289822311534,F,7.0,6,0.0
1894,42.68119198071019,F,6.0,2,346.79552392810695
1895,52.934778777762915,M,8.0,3,0.0
1896,67.93149650066383,F,2.0,1,0.0
1899,67.90443569953285,M,2.0,2,9.210226391568735
1900,32.33523364720051,F,5.0,0,0.0
1901,39.53434547638355,F,4.0,0,0.0
1902,34.40932013047416,Unclassified,6.0,1,106.82794676430987
1903,27.705430389461213,Unclassified,9.0,1,79.15695650811446
1904,21.01487241263631,M,7.0,1,0.0694358629045151
1905,22.99725065440752,F,3.0,2,39.619612239580796
1906,39.950419873926805,F,2.0,2,0.0
1907,59.40861758127971,Unclassified,6.0,1,231.9789267236806
1909,46.949956065581034,F,5.0,1,96.14305353012202
1910,11.611377224537058,F,4.0,3,88.19174466028795
1911,29.10462176398877,F,5.0,4,0.0
1912,20.911988234584385,Unclassified,9.0,0,0.0
1913,34.0415079536714,M,5.0,5,568.9173513172823
1914,55.48931827666456,M,8.0,6,0.0
1915,47.76336908089605,F,2.0,1,0.0
1917,24.82105727037481,F,9.0,0,0.0
1918,27.412381535829265,F,2.0,1,0.0
1919,54.82336187777163,Unclassified,7.0,2,440.18659544037723
1920,65.28454423784717,M,9.0,3,0.0
1921,19.055198764031786,Unclassified,2.0,0,0.0
1923,21.277340136886274,F,3.0,2,153.43748765844995
1927,35.267013432056345,M,7.0,3,386.55651764465466
1929,56.477249864596544,F,4.0,0,0.0
1930,67.94078978653216,M,2.0,0,0.0
1931,32.51521326209731,Unclassified,6.0,2,0.0
1932,29.35052873020789,M,7.0,1,202.41353223973505
1933,52.38563923376936,M,4.0,1,69.62267368145702
1934,22.480701710053488,F,6.0,2,0.0
1935,40.66701463087929,M,3.0,2,136.91003336603285
1936,62.27635044239679,F,6.0,1,0.0
1937,70.08666272766514,F,7.0,3,326.4604793148567
1938,50.58739299545474,F,2.0,1,153.37919492446426
1940,18.04122710897185,F,8.0,8,210.4278021421675
1941,19.971008756206164,M,8.0,4,136.34486756373119
1942,35.46761604219666,F,4.0,2,181.15048673680835
1944,58.26342269361399,F,8.0,2,102.51637047553638
1945,39.59753516779645,M,7.0,4,391.0779986770009
1946,22.822424102399822,Unclassified,7.0,1,0.0
1948,16.798632655988133,M,6.0,1,0.0
1953,58.62709675848278,M,9.0,1,125.60041099191046
1954,14.526004198985042,M,8.0,0,0.0
1955,35.113264700840766,Unclassified,6.0,0,0.0
1956,28.097673953467478,F,5.0,2,0.0
1958,60.70782676317254,M,5.0,2,81.79021940444295
1959,39.74351183282663,Unclassified,4.0,0,0.0
1960,55.03045306391881,F,7.0,1,0.0
1961,22.579993233066908,F,1.0,0,0.0
1962,20.671272123713713,M,8.0,4,274.321688921086
1963,17.12073158371696,M,5.0,0,0.0
1964,56.286322295187645,Unclassified,9.0,0,0.0
1967,37.56511000916744,Unclassified,3.0,1,62.09950150571143
1968,72.11606730775377,M,5.0,3,0.0
1969,53.997765900163486,M,7.0,1,151.12071489819743
1971,29.173111179835857,M,9.0,2,0.0
1974,31.47726715780048,M,8.0,0,0.0
1975,23.54691486793853,F,7.0,3,0.0
1977,52.51051357127326,Unclassified,5.0,3,0.0
1978,41.356666551903544,M,5.0,7,0.0
1979,57.12321903784968,F,8.0,7,586.2883906544612
1980,54.89997641175493,F,7.0,0,0.0
1982,45.46022262550819,F,6.0,0,0.0
1983,42.74771801656937,F,3.0,1,74.08242902776246
1985,19.48595776759317,Unclassified,3.0,0,0.0
1986,41.75353466651406,F,7.0,2,187.50854075412317
1987,46.1262455457886,Unclassified,7.0,0,0.0
1988,37.037899562820925,F,3.0,0,0.0
1989,33.4457278978031,F,4.0,0,0.0
1990,36.89144726766068,F,1.0,0,0.0
1992,35.38230426116845,Unclassified,3.0,0,0.0
1993,29.07837336038451,F,6.0,0,0.0
1995,60.67754636968019,Unclassified,7.0,1,0.0
1996,60.50496882770791,F,2.0,1,159.5644926005681
1997,42.22949180789699,M,7.0,2,0.0
1999,15.711390751894593,F,3.0,0,0.0
2001,40.197519223364395,F,3.0,1,68.1027555870262
2002,60.813285016659535,Unclassified,9.0,1,0.0
2004,31.281768382204255,F,3.0,0,0.0
2005,28.84689151622775,F,1.0,0,0.0
2006,36.379146015557055,F,6.0,0,0.0
2007,22.0564735891557,F,8.0,2,0.0
2009,21.756020174844537,F,2.0,0,0.0
2010,53.82387318361556,M,5.0,2,0.0
2011,58.85435440203076,F,2.0,0,0.0
2012,49.15682372307495,M,7.0,3,252.91882072675335
2013,48.832107341847916,M,8.0,3,0.0
2014,21.39508091502907,F,6.0,5,0.0
2017,26.745975372379306,F,3.0,0,0.0
2018,41.877501203584394,Unclassified,7.0,3,235.7116839286731
2019,63.616994663289525,F,5.0,0,0.0
2021,67.08149827307975,M,3.0,1,35.519859786414806
2022,38.61261855412052,F,9.0,2,0.0
2023,22.14113335031154,Unclassified,4.0,0,0.0
2025,32.814233495397474,Unclassified,3.0,0,0.0
2027,53.181069163737476,F,8.0,2,0.0
2030,71.0995151033076,M,5.0,3,0.0
2031,46.936300131279516,M,9.0,2,0.0
2032,70.44129137302448,F,3.0,1,62.418751957161916
2034,23.36126098533385,M,3.0,1,134.7844720132063
2035,47.08776434363615,Unclassified,3.0,0,0.0
2036,64.42217320592474,Unclassified,5.0,2,0.0
2037,29.07769682754453,M,9.0,0,0.0
2041,21.560581561191416,M,9.0,6,0.0
2042,36.985749593653175,F,7.0,3,409.38989381450233
2043,18.242702050556186,Unclassified,7.0,1,0.0
2044,49.62645118022943,M,10.0,0,0.0
2045,43.355565185864215,F,6.0,1,165.35940666063752
2046,31.68890499121638,F,8.0,3,394.27441610049067
2047,51.44946499678402,F,3.0,0,0.0
2049,34.740630842222586,M,7.0,4,459.8497129123944
2050,20.47395692854777,Unclassified,9.0,0,0.0
2051,60.8648957190472,M,7.0,7,157.43369341885835
2052,41.85685961056897,M,4.0,3,124.3219296007242
2054,64.24005363922629,M,6.0,6,0.0
2055,41.39404507090245,F,7.0,0,0.0
2056,28.13441428806627,F,3.0,1,81.95024701044039
2057,17.470279697537453,Unclassified,6.0,0,0.0
2058,26.404960354225924,F,6.0,1,45.51771638193925
2059,38.28239877465794,F,5.0,3,0.0
2062,20.627477646148932,Unclassified,7.0,1,0.0
2063,28.96062526567291,F,4.0,4,422.16229642568146
2064,45.047278112678065,F,4.0,4,270.23378566833674
2067,24.11527187771599,F,2.0,3,0.0
2068,18.067548164805125,M,9.0,9,617.3071104467016
2069,33.68196758446062,Unclassified,6.0,0,0.0
2070,30.610829863969133,M,5.0,1,146.13519471796278
2071,65.25974977440362,M,5.0,4,315.02566438296196
2072,27.846558386469372,F,5.0,4,0.0
2073,49.44476510920564,F,5.0,4,274.5700825674738
2075,25.813182844411177,Unclassified,3.0,0,0.0
2076,56.43877773826027,M,9.0,4,0.0
2077,65.00219472706367,Unclassified,8.0,1,0.0
2079,39.54650855434441,Unclassified,9.0,1,191.83158144065618
2080,60.88965842149709,M,9.0,4,195.6053118737213
2081,67.56147277466445,F,6.0,4,0.0
2082,57.8377857943035,Unclassified,4.0,1,40.77694771158561
2083,22.634665223199843,F,3.0,1,8.78061268313249
2084,47.35386391823304,F,7.0,1,0.0
2085,26.963863001592774,M,7.0,1,0.0
2086,48.89903420842436,F,5.0,3,392.3920612470561
2087,19.95700821906074,M,2.0,1,0.0
2090,55.95692408235227,Unclassified,8.0,2,0.0
2093,68.16695029784654,Unclassified,1.0,0,0.0
2094,25.625198753357274,M,8.0,1,88.91337642721876
2095,49.7212802326676,F,8.0,3,0.0
2097,49.074184343115036,M,8.0,5,165.51055347725287
2098,48.218278082059726,M,9.0,3,310.179347852863
2099,50.64344380417574,F,1.0,1,0.0
2102,34.5659394605258,M,3.0,0,0.0
2103,32.36282099607919,M,6.0,2,325.304203201615
2104,60.52842921538167,F,4.0,1,0.0
2105,64.03137093716356,Unclassified,3.0,0,0.0
2106,40.02744337519317,Unclassified,2.0,1,85.57937591733236
2108,70.30690134726376,M,7.0,4,0.0
2110,35.84928939408064,M,4.0,0,0.0
2112,21.390460045699406,Unclassified,6.0,0,0.0
2113,27.116411828141814,Unclassified,2.0,0,0.0
2114,47.664083626128466,F,6.0,0,0.0
2115,26.817888280090585,F,3.0,1,184.29026477052784
2116,25.242533718417132,M,8.0,2,0.0
2117,19.92369588497678,Unclassified,4.0,0,0.0
2118,17.344823402182303,F,4.0,1,144.17665131509833
2119,42.23403455649002,M,7.0,4,349.21369710095667
2120,65.35502954377763,F,7.0,5,0.0
2122,63.61183322494829,Unclassified,7.0,0,0.0
2123,26.964481853541855,M,5.0,1,170.10078344949366
2124,59.45043447325501,F,3.0,0,0.0
2126,54.508691069839564,Unclassified,2.0,0,0.0
2127,41.191285006834335,F,7.0,0,0.0
2128,36.41827041114104,F,5.0,2,0.0
2130,18.016055844073435,M,10.0,7,316.50029240709887
2131,17.448815141999855,M,9.0,4,120.69016613231882
2132,17.68787652542428,M,9.0,3,150.3921181103914
2135,17.76501704556731,F,5.0,5,0.0
2138,22.23116301604198,F,7.0,2,107.95600985461463
2139,60.966176910420664,F,5.0,0,0.0
2140,52.76415958105602,M,9.0,2,125.25889519240401
2141,46.0126198922404,F,1.0,1,0.0
2142,62.62151615049338,Unclassified,8.0,1,159.89852051402767
2143,32.83484766143035,F,6.0,3,0.0
2144,48.123041318914105,M,9.0,1,123.73046772282946
2145,65.47831515739213,Unclassified,8.0,1,69.36373685395895
2146,59.92328229535269,M,7.0,2,89.28980826352506
2148,53.5319133038813,M,3.0,0,0.0
2149,21.902634272243642,M,4.0,0,0.0
2150,17.688701482628005,F,6.0,2,33.35973327292921
2151,29.81286852834936,Unclassified,10.0,2,0.0
2152,49.8873607327674,Unclassified,7.0,0,0.0
2153,44.290780131516485,F,6.0,1,0.0
2156,45.72751722744242,F,6.0,3,187.76459809484214
2157,26.086635817293537,Unclassified,1.0,0,0.0
2161,42.815403222494346,F,8.0,2,0.0
2162,66.51486694722527,M,3.0,1,0.0
2163,40.626890399833535,M,7.0,0,0.0
2164,49.04354060161693,F,8.0,1,29.018244935819148
2165,44.266031063958856,M,9.0,3,0.0
2166,64.05866739345129,M,5.0,1,0.0
2167,45.545809788275164,Unclassified,10.0,0,0.0
2168,28.266799504906686,Unclassified,5.0,0,0.0
2170,31.686267711450295,F,6.0,1,0.0
2171,57.404293306035264,M,2.0,1,128.21188646016464
2172,73.34619441947694,M,7.0,3,34.50051477061309
2175,19.8513215678326,F,6.0,2,0.0
2176,69.41154928254909,F,2.0,3,356.79063246020246
2178,27.233585953714012,F,3.0,0,0.0
2179,58.82828301694981,F,6.0,2,0.0
2183,74.42686343648185,M,4.0,4,136.86379061226228
2184,39.517310761288186,M,7.0,1,229.25310919395264
2185,64.70544069662287,M,7.0,2,114.15547271644027
2189,27.206481135971966,M,9.0,3,132.15750747248455
2190,71.60196186800216,F,1.0,2,0.0
2191,37.88260888261094,M,4.0,0,0.0
2192,33.35251070075202,M,7.0,0,0.0
2193,74.41205585358317,M,6.0,0,0.0
2194,38.46021446104712,F,5.0,0,0.0
2196,31.369813606026515,Unclassified,2.0,0,0.0
2197,58.80079646254262,Unclassified,5.0,2,0.0
2198,60.069692783941804,Unclassified,3.0,1,80.85335295285728
2200,58.58463876715944,F,9.0,2,264.20184807519524
2202,38.19832352946432,M,7.0,1,0.0
2204,59.486154568124725,M,3.0,0,0.0
2205,67.75374911915338,M,4.0,0,0.0
2206,52.553266616564905,M,4.0,1,140.757250473584
2207,34.09727404659642,M,4.0,1,148.3715897263592
2208,54.677907441692554,F,3.0,4,0.0
2209,29.712332913893682,F,4.0,3,0.0
2210,47.1729409343967,F,5.0,1,0.0
2211,53.69114433610543,F,8.0,7,0.0
2212,28.464720517417852,Unclassified,7.0,2,0.0
2213,34.99471773784093,F,5.0,0,0.0
2215,51.770890453782165,F,1.0,0,0.0
2218,38.81149315789503,M,8.0,2,0.0
2219,24.563841033014775,F,7.0,1,289.97851586212454
2220,54.29730592919939,Unclassified,7.0,1,27.56736072867376
2221,43.54469892928129,F,9.0,2,0.0
2223,50.42173091400485,Unclassified,6.0,1,67.86359304694996
2225,53.30226151661653,Unclassified,8.0,1,72.28739887935042
2227,47.08289109824665,M,7.0,0,0.0
2228,68.56696377496706,M,5.0,3,0.0
2231,29.16209229243992,M,2.0,0,0.0
2233,49.31992646751898,F,5.0,5,0.0
2234,22.17403162438892,M,8.0,1,61.05711856237737
2235,60.32315682108089,F,3.0,1,308.53977831325096
2236,18.828817616594034,F,3.0,0,0.0
2237,35.23035368065932,F,8.0,1,0.0
2238,27.164766065431117,M,2.0,0,0.0
2239,66.64374618017077,F,7.0,4,641.8442984745565
2240,35.96333588311505,M,3.0,0,0.0
2243,35.698440284780176,M,1.0,0,0.0
2245,52.212597338900515,F,2.0,0,0.0
2246,17.908792253561014,F,5.0,1,0.0
2247,18.13265953481389,Unclassified,4.0,1,0.0
2252,43.743693041021935,Unclassified,5.0,1,159.33174782054664
2253,62.943929797966334,M,8.0,4,122.01028639870859
2254,43.52971763846872,M,7.0,8,0.0
2256,41.24903063163817,Unclassified,10.0,1,0.0
2257,35.74116598678431,Unclassified,6.0,0,0.0
2258,67.01005691344676,Unclassified,2.0,0,0.0
2259,55.77392232656949,Unclassified,5.0,1,11.446100746006868
2260,50.18743714967143,F,1.0,0,0.0
2261,19.48899429986968,Unclassified,3.0,0,0.0
2262,20.34686054398854,F,7.0,1,66.81077926502142
2263,46.988679914884514,M,2.0,1,104.54374267179192
2264,37.998085786583545,M,6.0,5,310.94456534708036
2265,58.10801218339587,F,6.0,1,0.0
2266,15.859283056077516,Unclassified,7.0,1,63.55552716365807
2267,20.832538449636893,F,8.0,0,0.0
2268,21.711708484430766,F,2.0,1,54.19657824870929
2270,19.58157550479693,Unclassified,5.0,1,91.64917896113975
2271,31.80326712453866,M,6.0,0,0.0
2273,53.3739708116607,F,8.0,2,0.0
2274,38.41727832141193,F,7.0,2,169.4608881298077
2275,44.18467603702351,Unclassified,7.0,0,0.0
2276,30.935077433295014,F,3.0,0,0.0
2277,47.80414035758457,F,3.0,1,84.62379587917697
2278,26.645329975842664,Unclassified,6.0,0,0.0
2279,33.91875625212862,F,1.0,1,0.0
2280,29.053091144478135,Unclassified,7.0,0,0.0
2281,47.76132009279349,M,7.0,5,343.75774749487584
2282,23.60293740542525,M,1.0,1,158.4501614768817
2283,35.05322945238699,Unclassified,5.0,0,0.0
2284,50.50081711749797,F,7.0,5,363.9194353377971
2286,56.88139944865806,Unclassified,8.0,0,0.0
2288,64.25560568456858,M,6.0,3,0.0
2289,52.3836040243349,F,3.0,2,107.15482139907127
2290,57.64166829100929,M,4.0,3,0.0
2292,40.80258277822914,Unclassified,6.0,1,45.74619190103896
2293,66.22564186550085,M,5.0,0,0.0
2294,44.828778471047485,Unclassified,2.0,1,74.46973836787873
2296,24.673055333320836,M,10.0,3,159.79132887274585
2298,20.987599753892432,M,7.0,1,0.0
2300,65.54376967585577,F,3.0,2,0.0
2302,21.23425800363827,M,2.0,0,0.0
2303,35.28248092460777,F,4.0,0,0.0
2306,23.804578300850583,M,9.0,2,0.0
2311,52.79455414827261,M,7.0,3,266.9673626499833
2312,47.5010123032044,Unclassified,2.0,0,0.0
2313,41.35391649480222,F,5.0,2,0.0
2314,27.196717810187657,F,4.0,0,0.0
2316,40.73129940273409,F,6.0,2,0.0
2318,23.824543538001492,F,9.0,3,294.30657211085753
2320,33.25761868547518,M,10.0,3,0.0
2321,55.17362764897299,F,6.0,5,307.1654688040946
2323,46.652601701514804,M,7.0,0,0.0
2325,53.98724573879707,M,3.0,1,0.0
2327,30.70066441879965,F,5.0,1,78.35073741880869
2328,35.077153611815845,F,7.0,2,0.0
2330,59.36760181071661,Unclassified,5.0,1,107.87801161588197
2331,33.25082397277458,F,3.0,2,197.81917475383327
2333,38.70076328837967,F,9.0,1,227.03279972219934
2338,22.967065568544648,M,7.0,4,272.7670962590672
2339,57.4918939588345,M,7.0,0,0.0
2340,31.260547464319302,Unclassified,7.0,1,0.0
2341,32.59197056117608,Unclassified,2.0,0,0.0
2343,53.307107712120825,M,6.0,1,0.0
2344,70.83750660889574,F,7.0,2,0.0
2345,45.36471633677883,M,3.0,1,0.0
2346,52.15788703067732,Unclassified,1.0,0,0.0
2347,34.65667172946915,F,7.0,1,66.65620651817133
2348,41.428953522187776,M,9.0,4,402.3070356022107
2350,47.92170913921154,F,5.0,0,0.0
2351,18.292457136349665,Unclassified,3.0,1,119.99058894049604
2352,28.13676028898602,F,7.0,0,0.0
2353,56.4804550821702,F,1.0,1,37.14239273888822
2354,30.11084191802571,M,8.0,7,611.49912278803
2357,65.50548786792022,M,2.0,0,0.0
2358,28.954827699782346,M,8.0,1,86.97278287084086
2359,22.634478816478506,M,6.0,2,0.0
2360,35.31471918167933,F,8.0,0,0.0
2361,14.231484591256338,F,7.0,0,0.0
2362,19.35960130363655,F,2.0,0,0.0
2364,59.08275129372643,Unclassified,2.0,0,0.0
2366,23.18499384942144,F,2.0,0,0.0
2367,26.581679988383684,M,9.0,2,195.0588260836926
2369,47.88597181170446,M,7.0,1,178.61608236802596
2370,26.474169472630546,F,7.0,0,0.0
2371,39.68969413303965,F,6.0,2,0.0
2372,56.141995785334785,F,5.0,2,0.0
2373,30.655524543201988,F,4.0,0,0.0
2374,28.36068472641654,Unclassified,9.0,0,0.0
2375,61.45781102633686,M,10.0,2,0.0
2376,46.87788119994841,F,8.0,2,128.36979385311727
2378,34.8016857336603,F,4.0,1,74.96692855079515
2379,72.52792278276684,M,7.0,9,324.12131126985946
2380,34.453706173694634,M,8.0,4,0.0
2381,32.73222383325182,F,3.0,3,366.24824923491656
2382,45.918445161638665,M,3.0,1,36.2461809002357
2383,30.85062597214825,M,6.0,2,0.0
2384,41.424905275322715,Unclassified,9.0,2,150.84161034314545
2386,21.574580636271904,F,4.0,1,0.0
2387,27.066861938993984,F,6.0,0,0.0
2389,39.347303725580616,F,3.0,2,164.0546651244621
2390,32.45211532957934,F,5.0,1,135.23641325925442
2391,25.7161681060686,F,2.0,0,0.0
2393,52.507304279148165,F,7.0,4,0.0
2394,51.00607986183639,M,6.0,3,134.3405348823089
2395,38.70125396550858,F,7.0,1,0.0
2398,63.99718366448256,Unclassified,3.0,0,0.0
2399,67.38155487227121,M,5.0,5,70.50487914764328
2400,37.36630337674324,F,7.0,0,0.0
2401,10.979190262086641,Unclassified,7.0,0,0.0
2402,55.96395380663675,M,7.0,0,0.0
2403,18.808393467200354,M,6.0,2,0.0
2405,43.684399969140195,M,4.0,2,0.0
2406,34.26717056842658,M,2.0,0,0.0
2407,13.035078323722884,F,4.0,0,0.0
2409,49.61471582285923,Unclassified,7.0,0,0.0
2410,38.50634443724458,F,7.0,0,0.0
2411,43.8053287785602,F,3.0,2,237.3220306820964
2412,26.082428462281797,F,4.0,3,0.0
2413,63.395434827396635,F,7.0,2,0.0
2414,62.757222189151975,F,9.0,5,0.0
2415,46.221474190072136,Unclassified,8.0,0,0.0
2416,32.88603614141822,F,8.0,3,0.0
2417,32.703093867564746,F,7.0,2,97.72499733961732
2418,35.73336787537144,F,8.0,0,0.0
2419,41.227182257398326,F,5.0,0,0.0
2420,41.29728324586096,M,9.0,8,0.0
2422,28.764160785402822,F,3.0,0,0.0
2423,40.465260089301985,F,6.0,1,0.0
2424,17.113421692756145,M,8.0,3,174.1762275786578
2425,60.35916531626225,F,3.0,1,184.46564379626392
2426,36.722860641528925,M,6.0,2,0.0
2427,39.03675735107486,F,2.0,0,0.0
2428,18.952679566138805,F,4.0,1,0.0
2429,53.62241539058052,M,7.0,3,187.61646300561802
2431,68.28227998044576,F,2.0,1,213.9651740933394
2433,41.58115971497397,F,4.0,2,0.0
2434,73.60891575870416,M,4.0,2,103.90294598041989
2435,19.280367069533803,M,7.0,2,76.88454438308342
2436,25.622642794313116,F,3.0,0,0.0
2437,18.903400355587635,M,6.0,3,71.295387019868
2438,69.62621855755269,M,7.0,4,154.28065022344927
2439,44.691969551115896,Unclassified,6.0,1,0.0
2441,29.73233117718242,M,7.0,2,193.91401109561644
2443,39.23153146375955,M,7.0,2,401.88588719437286
2445,27.102963915181007,M,8.0,1,0.0
2446,30.6318369304048,M,7.0,3,281.0822496971721
2448,64.81202523720103,Unclassified,6.0,0,0.0
2450,30.35557571473069,Unclassified,7.0,2,149.83790673731158
2451,44.90764983054695,F,9.0,1,89.66747537783078
2452,59.705550987846294,F,3.0,0,0.0
2453,45.24221427391764,M,6.0,5,497.2473236557851
2455,35.84277938034192,M,2.0,0,0.0
2456,62.88978385278736,Unclassified,1.0,0,0.0
2457,57.23135401688299,F,8.0,0,0.0
2458,60.73607254675085,Unclassified,6.0,4,437.21408184866607
2460,71.23033024301819,Unclassified,8.0,1,0.0
2461,20.23053864371252,Unclassified,9.0,0,0.0
2462,20.316634861886932,M,7.0,4,521.6804851226549
2463,32.86122508004894,M,7.0,1,0.0
2465,60.81663557817212,M,2.0,2,0.0
2466,42.052627001575395,M,9.0,1,0.0
2467,50.49287929767887,F,3.0,1,83.82044074488512
2468,59.02768701282904,Unclassified,6.0,0,0.0
2469,60.4065095312063,F,5.0,1,105.57309178178629
2470,68.52040589522625,F,2.0,2,215.45243826529708
2471,64.50154090819476,Unclassified,3.0,1,80.69180095115962
2472,70.89128025344482,M,5.0,3,0.0
2474,34.87874462863421,M,8.0,6,769.4918255204043
2475,72.66992032402565,M,3.0,1,16.28799638723058
2476,36.446161383833626,F,3.0,0,0.0
2477,54.62671001723276,M,5.0,0,0.0
2479,64.29727405282952,F,5.0,1,21.53673986019898
2480,50.75571367787728,F,5.0,3,229.36093002139052
2482,28.32870349059359,F,2.0,0,0.0
2485,50.23265864301542,M,4.0,2,202.47073509941814
2486,55.37107379075347,Unclassified,2.0,0,0.0
2487,29.28025354479987,M,7.0,1,44.47188028490597
2488,29.43349140387247,F,1.0,0,0.0
2489,15.432277570696186,M,4.0,1,11.522258310730447
2490,43.18398375862863,M,6.0,3,213.58864579711644
2491,33.736748684603874,Unclassified,4.0,0,0.0
2492,16.330571215977443,Unclassified,10.0,1,12.698581140878337
2493,65.58724867838083,F,7.0,7,1452.876692352077
2494,45.9266232739423,Unclassified,5.0,0,0.0
2495,18.690708666978153,Unclassified,9.0,2,52.23528476581117
2497,39.54607996906642,M,3.0,0,0.0
2498,59.9645733742093,M,9.0,4,358.1096833661183
2499,53.14443240092442,F,10.0,3,154.83875692640714
2500,39.88627420078491,F,9.0,0,0.0
2502,29.99141084976023,M,4.0,1,0.0
2503,23.69447272989627,Unclassified,7.0,0,0.0
2506,64.58830931932991,F,5.0,3,621.3371739681751
2507,24.587861802120102,F,4.0,1,268.5252769450908
2510,36.004388291548224,M,6.0,4,0.0
2511,38.27841878738755,M,5.0,1,0.0
2512,66.57232801504287,Unclassified,7.0,1,38.92868969725012
2513,59.08308861787616,M,8.0,4,0.0
2514,22.8297914540472,Unclassified,8.0,1,0.0
2515,58.88477487065388,F,7.0,0,0.0
2517,22.6705684290946,Unclassified,5.0,0,0.0
2519,37.122531984178565,M,9.0,5,657.4636169844737
2520,40.15439383311396,M,4.0,1,298.08067284609865
2521,58.736002378476016,F,3.0,1,141.10667310959516
2522,66.1551789699757,Unclassified,4.0,0,0.0
2523,67.82520011921886,M,7.0,2,184.27563022997316
2524,34.311400808203004,F,8.0,1,0.0
2525,63.23992233669261,F,7.0,1,111.58451334738305
2526,19.668492718092136,M,7.0,4,28.683974837478786
2527,66.40626590499045,Unclassified,9.0,1,0.0
2528,41.345968780966736,Unclassified,3.0,0,0.0
2529,57.325821654389905,M,8.0,3,227.03688279595653
2530,56.9392068907211,Unclassified,7.0,1,0.0
2535,20.29762999028756,F,5.0,1,115.43154210572958
2536,59.40611149074022,M,7.0,2,0.0
2537,32.355693029648414,M,10.0,2,146.83422231592778
2538,58.04611805407062,Unclassified,2.0,0,0.0
2539,49.23192253876451,M,7.0,4,358.7671716696644
2540,32.31000243697734,Unclassified,7.0,2,57.30490172726733
2541,35.322169042411346,F,4.0,1,0.0
2542,29.395800808546902,F,2.0,0,0.0
2543,30.60064198941603,M,1.0,1,72.5310124803082
2545,35.924624626852676,M,6.0,3,426.79660933980955
2548,58.89162575496785,M,8.0,4,212.0239310385918
2549,31.162679169283717,Unclassified,2.0,1,53.96579906323155
2550,59.943441561277425,F,6.0,2,0.0
2554,37.326270118668766,F,6.0,2,178.88553011715106
2555,47.848003857515586,M,9.0,2,137.18341509437667
2556,69.06288186942052,F,6.0,3,388.74756650487564
2557,46.31152940900775,M,7.0,6,493.4569670791293
2559,37.67985982588823,M,9.0,2,237.44751050134934
2560,56.05441689164524,F,7.0,1,8.361635974134456
2562,68.15848649805079,M,1.0,2,213.95285822708544
2563,31.307746290728186,M,7.0,0,0.0
2564,25.92983959748594,M,3.0,1,41.07054328764551
2565,45.21608321975489,M,8.0,1,0.0
2567,12.526096182992703,F,6.0,0,0.0
2568,59.564115728588135,M,5.0,0,0.0
2569,27.85650005906944,F,3.0,3,307.75704711126076
2570,70.53799243660077,Unclassified,3.0,1,77.53522743510187
2571,31.74881630535198,F,9.0,4,0.0
2573,28.174283795240946,M,8.0,1,81.87004037751947
2574,24.274337962584184,F,8.0,0,0.0
2575,41.50946556818667,M,3.0,1,0.0
2578,37.46146335628674,M,7.0,3,349.31263987528786
2580,43.01933196333089,F,4.0,4,0.0
2581,66.92245277309385,F,8.0,1,0.0
